index,date,time,people,catering,client,id,Gender,weight,weight ratio,ethnic_food,fav_cuisine,is_pref,greek_food,indian_food,italian_food,arabic_food,thai_food,healthy,sum
1,11/7/19,12:00,18,Asian,Ortus,63,2,210,0.304347826,2,Mexican,,,,,,,,0
2,11/7/19,12:00,18,Asian,Ortus,40,2,175,0.086956522,3,Italian,,,,,,3,,3
3,11/7/19,12:00,18,Asian,Ortus,55,2,165,0.02484472,5,Mexican,,,,,,4,,4
4,11/7/19,12:00,18,Asian,Ortus,57,2,175,0.086956522,5,Italian,,,,,,5,,5
5,11/7/19,12:00,18,Asian,Ortus,44,1,100,-0.378881988,5,Italian,,,,,,5,,5
6,11/7/19,12:00,18,Asian,Ortus,110,1,200,0.242236025,2,Italian,,,,,,,,0
7,11/7/19,12:00,18,Asian,Ortus,23,2,185,0.149068323,3,Asian,5,,,,,4,,9
8,11/7/19,12:00,18,Asian,Ortus,18,2,170,0.055900621,4,Italian,,,,,,3,,3
9,11/7/19,12:00,18,Asian,Ortus,65,1,140,-0.130434783,4,Italian,,,,,,3,,3
10,11/7/19,12:00,18,Asian,Ortus,87,1,190,0.180124224,4,Asian,5,,,,,4,,9
11,11/7/19,12:00,18,Asian,Ortus,62,1,118,-0.267080745,4,Italian,,,,,,,,0
12,11/7/19,12:00,18,Asian,Ortus,119,1,140,-0.130434783,4,General,,,,,,4,,4
13,11/7/19,12:00,18,Asian,Ortus,58,1,140,-0.130434783,2,Italian,,,,,,,,0
14,11/7/19,12:00,18,Asian,Ortus,10,1,125,-0.223602484,5,Indian,,,,,,4,,4
15,11/7/19,12:00,18,Asian,Ortus,41,2,140,-0.130434783,4,Italian,,,,,,3,,3
16,11/7/19,12:00,18,Asian,Ortus,14,1,123,-0.236024845,5,Italian,,,,,,5,,5
17,11/7/19,12:00,18,Asian,Ortus,17,1,145,-0.099378882,2,General,,,,,,,,0
18,11/7/19,12:00,20,Asian,ConnectNow,48,2,145,-0.099378882,3,Asian,5,,,,,,,5
19,11/7/19,12:00,20,Asian,ConnectNow,83,1,170,0.055900621,4,Italian,,,,,,3,,3
20,11/7/19,12:00,20,Asian,ConnectNow,17,1,145,-0.099378882,2,General,,,,,,,,0
21,11/7/19,12:00,20,Asian,ConnectNow,120,2,185,0.149068323,5,Indian,,,,,,5,,5
22,11/7/19,12:00,20,Asian,ConnectNow,7,2,180,0.118012422,5,Spanish,,,,,,5,,5
23,11/7/19,12:00,20,Asian,ConnectNow,32,2,205,0.273291925,5,Italian,,,,,,4,,4
24,11/7/19,12:00,20,Asian,ConnectNow,40,2,175,0.086956522,3,Italian,,,,,,3,,3
25,11/7/19,12:00,20,Asian,ConnectNow,13,2,264,0.639751553,4,General,,,,,,3,,3
26,11/7/19,12:00,20,Asian,ConnectNow,48,2,145,-0.099378882,3,Asian,5,,,,,,,5
27,11/7/19,12:00,20,Asian,ConnectNow,16,2,180,0.118012422,1,Mexican,,,,,,,,0
28,11/7/19,12:00,20,Asian,ConnectNow,66,1,112,-0.304347826,3,Italian,,,,,,4,,4
29,11/7/19,12:00,20,Asian,ConnectNow,26,1,125,-0.223602484,2,General,,,,,,3,,3
30,11/7/19,12:00,20,Asian,ConnectNow,97,2,210,0.304347826,4,Italian,,,,,,3,,3
31,11/7/19,12:00,20,Asian,ConnectNow,64,1,180,0.118012422,5,Mexican,,,,,,4,,4
32,11/7/19,12:00,20,Asian,ConnectNow,23,2,185,0.149068323,3,Asian,5,,,,,4,,9
33,11/7/19,12:00,20,Asian,ConnectNow,76,1,120,-0.254658385,5,Italian,,,,,,4,,4
34,11/7/19,12:00,20,Asian,ConnectNow,114,1,170,0.055900621,3,Italian,,,,,,,,0
35,11/7/19,12:00,20,Asian,ConnectNow,41,2,140,-0.130434783,4,Italian,,,,,,3,,3
36,11/7/19,12:00,20,Asian,ConnectNow,92,1,135,-0.161490683,2,General,,,,,,,,0
37,11/7/19,12:00,20,General,Owl,109,1,128,-0.204968944,2,Italian,,,,,,,,0
38,11/7/19,12:00,20,General,Owl,87,1,190,0.180124224,4,Asian,,,,,,,,0
39,11/7/19,12:00,20,General,Owl,59,1,155,-0.037267081,5,Asian,,,,,,,,0
40,11/7/19,12:00,20,General,Owl,3,1,161,0,5,Turkish,,,,,,,,0
41,11/7/19,12:00,20,General,Owl,41,2,140,-0.130434783,4,Italian,,,,,,,,0
42,11/7/19,12:00,20,General,Owl,18,2,170,0.055900621,4,Italian,,,,,,,,0
43,11/7/19,12:00,20,General,Owl,75,2,161,0,3,General,5,,,,,,,5
44,11/7/19,12:00,20,General,Owl,90,1,129,-0.198757764,5,Asian,,,,,,,,0
45,11/7/19,12:00,20,General,Owl,26,1,125,-0.223602484,2,General,5,,,,,,,5
46,11/7/19,12:00,20,General,Owl,8,1,137,-0.149068323,2,Caribbean,,,,,,,,0
47,11/7/19,12:00,20,General,Owl,36,1,150,-0.068322981,2,Italian,,,,,,,,0
48,11/7/19,12:00,20,General,Owl,104,1,130,-0.192546584,5,Indian,,,,,,,,0
49,11/7/19,12:00,20,General,Owl,46,1,113,-0.298136646,5,Italian,,,,,,,,0
50,11/7/19,12:00,20,General,Owl,50,2,150,-0.068322981,3,Italian,,,,,,,,0
51,11/7/19,12:00,20,General,Owl,59,1,155,-0.037267081,5,Asian,,,,,,,,0
52,11/7/19,12:00,20,General,Owl,40,2,175,0.086956522,3,Italian,,,,,,,,0
53,11/7/19,12:00,20,General,Owl,42,1,120,-0.254658385,4,Italian,,,,,,,,0
54,11/7/19,12:00,20,General,Owl,30,2,167,0.037267081,5,Asian,,,,,,,,0
55,11/7/19,12:00,20,General,Owl,18,2,170,0.055900621,4,Italian,,,,,,,,0
56,11/7/19,12:00,15,Spanish,Godzilla,90,1,129,-0.198757764,5,Asian,,,,,,,,0
57,11/7/19,12:00,15,Spanish,Godzilla,29,2,180,0.118012422,2,Asian,,,,,,,,0
58,11/7/19,12:00,15,Spanish,Godzilla,43,1,135,-0.161490683,3,Mexican,,,,,,,,0
59,11/7/19,12:00,15,Spanish,Godzilla,53,2,200,0.242236025,4,General,,,,,,,,0
60,11/7/19,12:00,15,Spanish,Godzilla,79,1,135,-0.161490683,3,Asian,,,,,,,,0
61,11/7/19,12:00,15,Spanish,Godzilla,118,1,113,-0.298136646,4,Asian,,,,,,,,0
62,11/7/19,12:00,15,Spanish,Godzilla,60,1,155,-0.037267081,5,General,,,,,,,,0
63,11/7/19,12:00,15,Spanish,Godzilla,6,1,190,0.180124224,4,General,,,,,,,,0
64,11/7/19,12:00,15,Spanish,Godzilla,21,2,175,0.086956522,4,Italian,,,,,,,,0
65,11/7/19,12:00,15,Spanish,Godzilla,106,1,125,-0.223602484,4,Italian,,,,,,,,0
66,11/7/19,12:00,15,Spanish,Godzilla,37,1,150,-0.068322981,4,Spanish,5,,,,,,,5
67,11/7/19,12:00,15,Spanish,Godzilla,23,2,185,0.149068323,3,Asian,,,,,,,,0
68,11/7/19,12:00,15,Spanish,Godzilla,21,2,175,0.086956522,4,Italian,,,,,,,,0
69,11/7/19,12:00,15,Spanish,Godzilla,101,1,125,-0.223602484,5,Italian,,,,,,,,0
70,11/7/19,12:30,12,Asian,Foxglove,86,1,140,-0.130434783,3,Asian,5,,,,,3,,8
71,11/7/19,12:30,12,Asian,Foxglove,124,2,135,-0.161490683,2,Italian,,,,,,,,0
72,11/7/19,12:30,12,Asian,Foxglove,123,1,120,-0.254658385,5,Asian,5,,,,,5,,10
73,11/7/19,12:30,12,Asian,Foxglove,51,2,169,0.049689441,2,Asian,5,,,,,5,,10
